ctr,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,dff,Active,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Test
,World,"32,101,060","+15,272","982,020",+732,"23,682,042","+11,278","7,436,998","62,368","4,118",126.0,
USA,USA,"7,139,553",,"206,593 ",,"4,398,907",,"2,534,053","14,086","21,540",623,"100,582,090"
India,India,"5,732,518","+2,334","91,173 ",,"4,674,987","+3,137","966,358","8,944","4,145",66,"67,436,031"
Brazil,Brazil,"4,627,780",,"139,065 ",,"3,992,886",,"495,829","8,318","21,736",653,"17,900,000"
Russia,Russia,"1,122,241",,"19,799 ",,"923,699",,"178,743","2,300","7,689",136,"43,600,000"
Colombia,Colombia,"784,268",,"24,746 ",,"662,277",,"97,245",863,"15,376",485,"3,499,136"
Peru,Peru,"782,695",,"31,870 ",,"636,489",,"114,336","1,381","23,663",964,"3,751,583"
Mexico,Mexico,"710,049","+4,786","74,949 ",+601,"510,237","+3,505","124,863","2,677","5,494",580,"1,620,878"
Spain,Spain,"693,556",,"31,034 ",,N/A,N/A,N/A,"1,436","14,833",664,"11,820,505"
South Africa,South Africa,"665,188",,"16,206 ",,"594,229",,"54,753",539,"11,183",272,"4,083,757"
Argentina,Argentina,"664,799",,"14,376 ",,"525,486",,"124,937","3,511","14,678",317,"1,815,738"
France,France,"481,141",,"31,459 ",,"93,538",,"356,144",951,"7,367",482,"10,000,000"
Chile,Chile,"449,903",,"12,345 ",,"425,165",,"12,393",907,"23,489",645,"3,084,117"
Iran,Iran,"432,798",,"24,840 ",,"365,846",,"42,112","3,948","5,138",295,"3,828,330"
UK,UK,"409,729",,"41,862 ",,N/A,N/A,N/A,211,"6,028",616,"22,616,796"
Bangladesh,Bangladesh,"353,844",,"5,044 ",,"262,953",,"85,847",,"2,144",31,"1,862,637"
Iraq,Iraq,"332,635",,"8,754 ",,"264,988",,"58,893",541,"8,229",217,"2,121,304"
Saudi Arabia,Saudi Arabia,"331,359",,"4,569 ",,"313,786",,"13,004","1,095","9,484",131,"6,190,822"
Pakistan,Pakistan,"308,217",+799,"6,437 ",+5,"294,392",+476,"7,388",548,"1,389",29,"3,306,515"
Turkey,Turkey,"308,069",,"7,711 ",,"270,723",,"29,635","1,561","3,644",91,"9,608,370"
Italy,Italy,"302,537",,"35,758 ",,"220,665",,"46,114",244,"5,005",592,"10,679,675"
Philippines,Philippines,"294,591",,"5,091 ",,"231,373",,"58,127","1,048","2,680",46,"3,462,679"
Germany,Germany,"279,205",,"9,508 ",,"249,500",,"20,197",293,"3,330",113,"15,642,654"
Indonesia,Indonesia,"257,388",,"9,977 ",,"187,958",,"59,453",,939,36,"3,032,250"
Israel,Israel,"204,690",,"1,325 ",,"144,963",,"58,402",657,"22,255",144,"3,195,429"
Ukraine,Ukraine,"188,106","+3,372","3,757 ",+52,"83,458","+1,788","100,891",177,"4,307",86,"2,102,377"
Canada,Canada,"147,753",,"9,243 ",,"127,788",,"10,722",86,"3,907",244,"6,833,661"
Bolivia,Bolivia,"131,990",+537,"7,731 ",+38,"91,556",+703,"32,703",71,"11,272",660,"292,016"
Ecuador,Ecuador,"129,892",,"11,171 ",,"102,852",,"15,869",360,"7,337",631,"399,096"
Qatar,Qatar,"124,175",,212 ,,"121,006",,"2,957",64,"44,225",76,"739,091"
Romania,Romania,"116,415",,"4,550 ",,"93,558",,"18,307",498,"6,061",237,"2,278,125"
Dominican Republic,Dominican Republic,"109,737",,"2,074 ",,"83,434",,"24,229",208,"10,093",191,"455,525"
Panama,Panama,"107,990",,"2,291 ",,"84,437",,"21,262",122,"24,939",529,"447,769"
Morocco,Morocco,"107,743",,"1,918 ",,"88,244",,"17,581",281,"2,911",52,"2,457,373"
Kazakhstan,Kazakhstan,"107,529",+79,"1,699 ",,"102,323",+259,"3,507",221,"5,711",90,"2,733,455"
Belgium,Belgium,"106,887","+1,661","9,959 ",+4,"19,079",+40,"77,849",95,"9,213",858,"2,986,196"
Egypt,Egypt,"102,375",,"5,822 ",,"91,843",,"4,710",41,996,57,"135,000"
Kuwait,Kuwait,"101,299",,590 ,,"92,341",,"8,368",101,"23,641",138,"720,509"
Netherlands,Netherlands,"100,597",,"6,296 ",,N/A,N/A,N/A,104,"5,868",367,"2,240,526"
Oman,Oman,"95,339",,875 ,,"86,482",,"7,982",190,"18,565",170,"309,212"
Sweden,Sweden,"89,756",,"5,876 ",,N/A,N/A,N/A,15,"8,875",581,"1,532,632"
UAE,UAE,"87,530",,406 ,,"76,995",,"10,129",,"8,826",41,"9,036,933"
Guatemala,Guatemala,"87,442",,"3,154 ",,"76,459",,"7,829",5,"4,860",175,"300,215"
Poland,Poland,"81,673",,"2,344 ",,"65,561",,"13,768",89,"2,159",62,"3,177,776"
Japan,Japan,"79,768",,"1,512 ",,"71,981",,"6,275",165,631,12,"1,859,693"
